USAF WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H VSB MW MW MW MW AW AW AW AW W TEMP DEWP SLP ALT STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
727930 24233 201410011953 260 7 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 60 49 1023.8 30.22 1007.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410012053 260 5 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 62 49 1023.4 30.21 1007.1 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410012153 260 5 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 63 49 1023.0 30.20 1006.8 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410012253 230 6 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 63 48 1022.6 30.18 1006.1 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410012353 210 8 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 64 48 1022.4 30.18 1006.1 65 56 0.00 ***** ***** ***** ** 
727930 24233 201410020000 210 8 *** *** SCT * * * 10.0 ** ** ** ** ** ** ** ** * 64 48 1022.4 ***** 1005.6 65 52 ***** ***** ***** ***** ** 
727930 24233 201410020053 210 3 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** * 62 47 1022.5 30.18 1006.1 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410020153 *** 0 *** 60 *** * * * 10.0 ** ** ** ** ** ** ** ** * 62 47 1022.4 30.18 1006.1 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410020253 320 3 *** 49 *** * * * 10.0 ** ** ** ** ** ** ** ** * 58 49 1022.5 30.18 1006.1 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410020353 030 10 *** 48 *** * * * 10.0 ** ** ** ** ** ** ** ** * 59 46 1022.9 30.19 1006.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410020453 050 9 *** 180 *** * * * 10.0 ** ** ** ** ** ** ** ** * 59 46 1023.3 30.20 1006.8 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410020553 070 9 *** 65 *** * * * 10.0 ** ** ** ** ** ** ** ** * 58 45 1023.4 30.21 1007.1 64 57 0.00 ***** ***** ***** ** 
727930 24233 201410020600 070 9 *** *** OVC * * * 10.0 ** ** ** ** ** ** ** ** * 58 45 1023.4 ***** 1006.6 64 52 ***** ***** ***** ***** ** 
727930 24233 201410020653 080 6 *** 50 *** * * * 10.0 ** ** ** ** ** ** ** ** * 57 45 1024.0 30.22 1007.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410020753 110 6 *** 45 *** * * * 10.0 ** ** ** ** ** ** ** ** * 57 45 1024.0 30.22 1007.5 65 52 0.00 ***** ***** ***** ** 
727930 24233 201410020759 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** 65 *** ***** ***** 0.00 ***** 0 
727930 24233 201410020853 090 6 *** 49 *** * * * 10.0 ** ** ** ** ** ** ** ** * 57 45 1024.1 30.23 1007.8 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410020953 190 3 *** 49 *** * * * 10.0 ** ** ** ** ** ** ** ** * 54 47 1024.4 30.23 1007.8 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410021053 *** 0 *** 50 *** * * * 10.0 ** ** ** ** ** ** ** ** * 55 46 1024.4 30.23 1007.8 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410021153 *** 0 *** 60 *** * * * 10.0 ** ** ** ** ** ** ** ** * 54 46 1024.7 30.24 1008.1 58 54 0.00 ***** ***** ***** ** 
727930 24233 201410021200 *** 0 *** *** BKN * * * 10.0 ** ** ** ** ** ** ** ** * 54 46 1024.7 ***** 1007.6 65 54 ***** ***** ***** ***** ** 
727930 24233 201410021253 *** 0 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** * 52 45 1025.2 30.25 1008.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410021353 *** 0 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** * 50 45 1025.6 30.27 1009.1 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410021453 *** 0 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** * 52 47 1026.0 30.28 1009.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410021553 *** 0 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** * 57 48 1026.4 30.29 1009.8 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410021653 050 5 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** * 59 48 1026.9 30.31 1010.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410021753 990 5 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** * 61 48 1026.9 30.31 1010.5 61 50 0.00 ***** ***** ***** ** 
727930 24233 201410021800 *** 5 *** *** SCT * * * 10.0 ** ** ** ** ** ** ** ** * 61 48 1026.9 ***** 1010.0 61 50 ***** ***** ***** ***** ** 
727930 24233 201410021853 990 5 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** * 63 48 1026.8 30.31 1010.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410021953 010 8 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** * 64 46 1026.7 30.30 1010.1 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410022053 350 9 *** 200 *** * * * 10.0 ** ** ** ** ** ** ** ** * 65 46 1026.5 30.30 1010.1 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410022153 290 10 *** 200 *** * * * 10.0 ** ** ** ** ** ** ** ** * 64 48 1026.4 30.29 1009.8 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410022253 300 7 *** 220 *** * * * 10.0 ** ** ** ** ** ** ** ** * 67 43 1026.2 30.29 1009.8 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410022353 290 7 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** * 66 43 1026.0 30.28 1009.5 67 63 0.00 ***** ***** ***** ** 
727930 24233 201410030000 290 7 *** *** SCT * * * 10.0 ** ** ** ** ** ** ** ** * 66 43 1026.0 ***** 1009.0 67 54 ***** ***** ***** ***** ** 
727930 24233 201410030053 320 7 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 65 38 1026.4 30.29 1009.8 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410030153 320 5 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 59 40 1026.7 30.30 1010.1 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410030253 360 7 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 58 44 1027.0 30.31 1010.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410030353 020 8 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 58 45 1027.1 30.31 1010.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410030453 360 5 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 56 45 1027.0 30.31 1010.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410030553 350 6 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 54 44 1027.0 30.31 1010.5 66 54 0.00 ***** ***** ***** ** 
727930 24233 201410030600 350 6 *** *** SCT * * * 10.0 ** ** ** ** ** ** ** ** * 54 44 1027.0 ***** 1010.0 66 54 ***** ***** ***** ***** ** 
727930 24233 201410030653 360 6 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 53 45 1026.8 30.31 1010.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410030753 *** 0 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 54 46 1026.7 30.30 1010.1 67 50 0.00 ***** ***** ***** ** 
727930 24233 201410030759 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** 67 *** ***** ***** 0.00 ***** 0 
727930 24233 201410030853 010 5 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** * 52 45 1026.4 30.29 1009.8 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410030953 *** 0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** * 51 46 1026.5 30.30 1010.1 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410031053 *** 0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** * 50 46 1026.5 30.30 1010.1 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410031153 *** 0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** * 51 47 1026.3 30.29 1009.8 55 49 0.00 ***** ***** ***** ** 
727930 24233 201410031200 *** 0 *** *** *** * * * 10.0 ** ** ** ** ** ** ** ** * 51 47 1026.3 ***** 1009.3 67 49 ***** ***** ***** ***** ** 
727930 24233 201410031253 030 6 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** * 52 48 1025.5 30.27 1009.1 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410031353 *** 0 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** * 49 47 1025.3 30.26 1008.8 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410031453 350 3 *** 220 *** * * * 10.0 ** ** ** ** ** ** ** ** * 50 48 1025.1 30.25 1008.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410031553 *** 0 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** * 53 49 1025.3 30.26 1008.8 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410031653 *** 0 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** * 58 50 1025.2 30.25 1008.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410031753 280 5 *** 250 *** * * * 10.0 ** ** ** ** ** ** ** ** * 60 51 1024.9 30.25 1008.5 61 48 0.00 ***** ***** ***** ** 
727930 24233 201410031800 280 5 *** *** BKN * * * 10.0 ** ** ** ** ** ** ** ** * 60 51 1024.9 ***** 1008.0 61 48 ***** ***** ***** ***** ** 
727930 24233 201410031853 260 3 *** 250 *** * * * 10.0 ** ** ** ** ** ** ** ** * 63 51 1024.4 30.24 1008.1 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410031953 *** 0 *** 250 *** * * * 10.0 ** ** ** ** ** ** ** ** * 66 51 1024.2 30.23 1007.8 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410032053 280 6 *** 250 *** * * * 10.0 ** ** ** ** ** ** ** ** * 70 53 1023.4 30.21 1007.1 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410032153 300 5 *** 250 *** * * * 10.0 ** ** ** ** ** ** ** ** * 69 50 1023.1 30.20 1006.8 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410032253 300 6 *** 250 *** * * * 10.0 ** ** ** ** ** ** ** ** * 69 47 1023.0 30.19 1006.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410032353 300 7 *** 250 *** * * * 10.0 ** ** ** ** ** ** ** ** * 70 47 1022.8 30.19 1006.5 72 60 0.00 ***** ***** ***** ** 
727930 24233 201410040000 300 7 *** *** BKN * * * 10.0 ** ** ** ** ** ** ** ** * 70 47 1022.8 ***** 1006.0 72 49 ***** ***** ***** ***** ** 
727930 24233 201410040053 280 3 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 69 47 1022.2 30.17 1005.8 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410040153 *** 0 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 65 46 1022.2 30.17 1005.8 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410040253 *** 0 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 63 47 1022.2 30.17 1005.8 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410040353 *** 0 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 62 45 1021.9 30.16 1005.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410040453 *** 0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** * 58 48 1022.2 30.17 1005.8 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410040553 *** 0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** * 58 48 1022.3 30.17 1005.8 70 57 0.00 ***** ***** ***** ** 
727930 24233 201410040600 *** 0 *** *** *** * * * 10.0 ** ** ** ** ** ** ** ** * 58 48 1022.3 ***** 1005.3 70 49 ***** ***** ***** ***** ** 
727930 24233 201410040653 *** 0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** * 57 49 1022.6 30.18 1006.1 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410040753 040 5 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** * 60 51 1022.8 30.19 1006.5 72 48 0.00 ***** ***** ***** ** 
727930 24233 201410040759 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** 72 *** ***** ***** 0.00 ***** 0 
727930 24233 201410040853 *** 0 *** 120 *** * * * 10.0 ** ** ** ** ** ** ** ** * 59 53 1022.7 30.19 1006.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410040953 300 3 *** 120 *** * * * 10.0 ** ** ** ** ** ** ** ** * 58 52 1022.6 30.18 1006.1 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410041053 *** 0 *** 130 *** * * * 10.0 ** ** ** ** ** ** ** ** * 57 52 1022.7 30.19 1006.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410041153 *** 0 *** 100 *** * * * 10.0 ** ** ** ** ** ** ** ** * 57 53 1022.9 30.19 1006.5 60 56 0.00 ***** ***** ***** ** 
727930 24233 201410041200 *** 0 *** *** OVC * * * 10.0 ** ** ** ** ** ** ** ** * 57 53 1022.9 ***** 1006.0 72 56 ***** ***** ***** ***** ** 
727930 24233 201410041253 140 3 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 56 52 1022.8 30.19 1006.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410041353 *** 0 *** 95 *** * * * 10.0 ** ** ** ** ** ** ** ** * 56 52 1022.8 30.19 1006.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410041453 150 5 *** 160 *** * * * 10.0 ** ** ** ** ** ** ** ** * 54 51 1022.5 30.18 1006.1 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410041553 150 3 *** 95 *** * * * 10.0 ** ** ** ** ** ** ** ** * 59 53 1023.0 30.19 1006.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410041653 200 3 *** 90 *** * * * 10.0 ** ** ** ** ** ** ** ** * 62 53 1023.5 30.21 1007.1 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410041753 *** 0 *** 85 *** * * * 10.0 ** ** ** ** ** ** ** ** * 65 54 1023.6 30.21 1007.1 66 54 0.00 ***** ***** ***** ** 
727930 24233 201410041800 *** 0 *** *** OVC * * * 10.0 ** ** ** ** ** ** ** ** * 65 54 1023.6 ***** 1006.6 66 54 ***** ***** ***** ***** ** 
727930 24233 201410041853 270 5 *** 100 *** * * * 10.0 ** ** ** ** ** ** ** ** * 64 54 1023.6 30.21 1007.1 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410041953 *** 0 *** 90 *** * * * 10.0 ** ** ** ** ** ** ** ** * 66 55 1023.4 30.21 1007.1 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410042053 270 5 *** 100 *** * * * 10.0 ** ** ** ** ** ** ** ** * 66 53 1023.2 30.20 1006.8 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410042153 990 3 *** 90 *** * * * 10.0 ** ** ** ** ** ** ** ** * 67 53 1023.0 30.19 1006.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410042253 *** 0 *** 120 *** * * * 10.0 ** ** ** ** ** ** ** ** * 69 53 1022.4 30.18 1006.1 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410042353 320 5 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 71 53 1022.0 30.17 1005.8 71 64 0.00 ***** ***** ***** ** 
727930 24233 201410050000 320 5 *** *** SCT * * * 10.0 ** ** ** ** ** ** ** ** * 71 53 1022.0 ***** 1005.3 71 56 ***** ***** ***** ***** ** 
727930 24233 201410050053 320 8 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 69 52 1021.8 30.16 1005.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410050153 310 3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** * 63 50 1021.3 30.14 1004.8 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410050253 350 5 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 61 50 1021.6 30.15 1005.1 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410050353 020 3 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 62 52 1021.5 30.15 1005.1 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410050453 300 5 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** * 58 52 1021.9 30.16 1005.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410050553 350 6 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** * 58 53 1022.1 30.17 1005.8 71 57 0.00 ***** ***** ***** ** 
727930 24233 201410050600 350 6 *** *** *** * * * 10.0 ** ** ** ** ** ** ** ** * 58 53 1022.1 ***** 1005.3 71 56 ***** ***** ***** ***** ** 
727930 24233 201410050653 *** 0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** * 57 53 1021.9 30.16 1005.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410050753 *** 0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** * 58 53 1021.8 30.16 1005.5 71 54 0.00 ***** ***** ***** ** 
727930 24233 201410050759 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** 71 *** ***** ***** 0.00 ***** 0 
727930 24233 201410050853 *** 0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** * 58 53 1021.9 30.16 1005.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410050953 350 3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** * 56 51 1021.4 30.15 1005.1 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410051053 *** 0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** * 55 51 1021.4 30.15 1005.1 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410051153 *** 0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** * 55 52 1021.6 30.15 1005.1 59 54 0.00 ***** ***** ***** ** 
727930 24233 201410051200 *** 0 *** *** *** * * * 10.0 ** ** ** ** ** ** ** ** * 55 52 1021.6 ***** 1004.6 71 54 ***** ***** ***** ***** ** 
727930 24233 201410051253 *** 0 *** 1 *** * * * 6.0 ** ** ** ** 10 ** ** ** * 54 52 1021.7 30.16 1005.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410051256 *** 0 *** 722 SCT * * * 6.0 ** ** ** ** 10 ** ** ** * 54 52 ****** 30.16 1005.5 *** *** ***** ***** ***** ***** ** 
727930 24233 201410051351 010 3 *** 1 *** * * * 0.8 ** ** ** ** 10 ** ** ** * 54 52 ****** 30.16 1005.5 *** *** ***** ***** ***** ***** ** 
727930 24233 201410051353 020 3 *** 1 *** * * * 0.8 ** ** ** ** 10 ** ** ** * 53 52 1021.9 30.16 1005.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410051453 050 5 *** 1 *** * * * 0.3 ** ** ** ** 30 ** ** ** * 55 53 1021.7 30.16 1005.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410051553 *** 0 *** 1 *** * * * 0.3 ** ** ** ** 30 ** ** ** * 56 55 1021.8 30.16 1005.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410051651 *** 0 *** 722 *** * * * 2.0 ** ** ** ** 10 ** ** ** * 57 55 ****** 30.16 1005.5 *** *** ***** ***** ***** ***** ** 
727930 24233 201410051653 *** 0 *** 722 SCT * * * 2.0 ** ** ** ** 10 ** ** ** * 58 56 1021.7 30.16 1005.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410051753 *** 0 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 64 57 1021.7 30.16 1005.5 64 53 0.00 ***** ***** ***** ** 
727930 24233 201410051800 *** 0 *** *** SCT * * * 10.0 ** ** ** ** ** ** ** ** * 64 57 1021.7 ***** 1005.0 64 53 ***** ***** ***** ***** ** 
727930 24233 201410051853 330 5 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 65 56 1021.4 30.15 1005.1 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410051953 *** 0 *** 160 *** * * * 10.0 ** ** ** ** ** ** ** ** * 69 56 1020.9 30.14 1004.8 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410052053 320 7 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 71 57 1020.8 30.13 1004.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410052153 300 5 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 73 57 1020.8 30.13 1004.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410052253 340 9 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 74 57 1020.3 30.12 1004.1 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410052353 300 5 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 73 58 1019.8 30.10 1003.5 75 64 0.00 ***** ***** ***** ** 
727930 24233 201410060000 300 5 *** *** SCT * * * 10.0 ** ** ** ** ** ** ** ** * 73 58 1019.8 ***** 1002.9 75 54 ***** ***** ***** ***** ** 
727930 24233 201410060053 300 5 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 70 58 1019.4 30.09 1003.1 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410060153 330 8 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 67 57 1019.3 30.08 1002.8 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410060253 350 6 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 65 57 1019.5 30.09 1003.1 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410060353 010 7 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 63 56 1019.8 30.10 1003.5 *** *** 0.00 ***** ***** ***** ** 
727930 24233 201410060453 020 6 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** * 63 56 1019.8 30.10 1003.5 *** *** 0.00 ***** ***** ***** ** 
